listing_id,city,state,locality,property_type,area_sqft,builtup_area_sqft,bhk,bathrooms,property_age,year_built,floor,total_floors,furnishing,parking,amenities_count,facing,latitude,longitude,price,price_per_sqft,currency,listing_status,synthetic_data,log_price,location_key
IND-000001,Indore,Madhya Pradesh,Super Corridor,Apartment,1554,1554,3,3,6,2020,2,5,Furnished,1,6,South,22.7224285,75.8102007,6880000,4427.28,INR,Active,True,15.744129,Indore | Super Corridor
IND-000002,Delhi,Delhi,Vasant Kunj,Apartment,2043,2043,4,4,8,2018,22,26,Unfurnished,1,6,North-East,28.536601,77.1521792,17970000,8795.89,INR,Sold,True,16.704214,Delhi | Vasant Kunj
IND-000003,Chandigarh,Chandigarh,Panchkula,Apartment,1553,1553,3,4,16,2010,2,3,Semi-Furnished,1,11,North-East,30.7032582,76.8560124,10420000,6709.59,INR,Sold,True,16.159238,Chandigarh | Panchkula
IND-000004,Jaipur,Rajasthan,Tonk Road,Independent House,2641,2641,4,5,15,2011,0,0,Furnished,1,5,North,26.871222,75.810888,10730000,4062.85,INR,Active,True,16.188554,Jaipur | Tonk Road
IND-000005,Indore,Madhya Pradesh,Palasia,Plot,2002,2002,0,0,7,2019,0,0,Unfurnished,2,9,East,22.7210234,75.861832,5000000,2497.5,INR,Sold,True,15.424949,Indore | Palasia
IND-000006,Pune,Maharashtra,Kharadi,Plot,1056,1056,0,0,13,2013,0,0,Furnished,3,9,East,18.5571214,73.9508285,6210000,5880.68,INR,Active,True,15.641672,Pune | Kharadi
IND-000007,Lucknow,Uttar Pradesh,Hazratganj,Apartment,1369,1369,3,3,0,2026,1,8,Semi-Furnished,3,7,North-East,26.8549165,80.9515024,6090000,4448.5,INR,Active,True,15.622159,Lucknow | Hazratganj
IND-000008,Ahmedabad,Gujarat,Bopal,Villa,4571,4571,5,5,20,2006,0,0,Unfurnished,0,3,West,23.0239382,72.4718275,24870000,5440.82,INR,Sold,True,17.029173,Ahmedabad | Bopal
IND-000009,Indore,Madhya Pradesh,Vijay Nagar,Apartment,1590,1590,3,4,24,2002,23,23,Unfurnished,3,1,East,22.7530527,75.906462,5540000,3484.28,INR,Active,True,15.527505,Indore | Vijay Nagar
IND-000010,Chennai,Tamil Nadu,Porur,Apartment,1673,1673,3,4,18,2008,15,16,Semi-Furnished,2,1,West,13.0407192,80.1584437,8240000,4925.28,INR,Active,True,15.924511,Chennai | Porur
IND-000011,Mumbai,Maharashtra,Borivali,Apartment,1354,1354,2,3,3,2023,19,20,Semi-Furnished,3,8,North-West,19.2455504,72.8560316,22860000,16883.31,INR,Active,True,16.944899,Mumbai | Borivali
IND-000012,Kochi,Kerala,Marine Drive,Apartment,732,732,1,1,14,2012,19,25,Semi-Furnished,2,0,East,9.982114,76.2768864,3250000,4439.89,INR,Active,True,14.994166,Kochi | Marine Drive
IND-000013,Kochi,Kerala,Tripunithura,Independent House,2684,2684,4,4,3,2023,0,0,Semi-Furnished,2,3,East,9.9453411,76.34371,12580000,4687.03,INR,Sold,True,16.347619,Kochi | Tripunithura
IND-000014,Kolkata,West Bengal,New Town,Apartment,1082,1082,2,3,24,2002,2,7,Unfurnished,3,2,North-East,22.5807408,88.4315382,5420000,5009.24,INR,Active,True,15.505607,Kolkata | New Town
IND-000015,Chennai,Tamil Nadu,Porur,Apartment,1480,1480,3,4,25,2001,3,11,Unfurnished,1,5,East,13.05075,80.1624938,7710000,5209.46,INR,Active,True,15.858029,Chennai | Porur
IND-000016,Indore,Madhya Pradesh,Bhawarkuan,Apartment,1249,1249,2,2,19,2007,1,7,Furnished,3,4,South,22.6932434,75.8510828,5080000,4067.25,INR,Active,True,15.440822,Indore | Bhawarkuan
IND-000017,Pune,Maharashtra,Baner,Apartment,1579,1579,3,3,2,2024,12,15,Unfurnished,1,0,North-West,18.5625227,73.7877607,11890000,7530.08,INR,Active,True,16.291208,Pune | Baner
IND-000018,Bengaluru,Karnataka,Yelahanka,Villa,2540,2540,3,4,18,2008,0,0,Semi-Furnished,2,7,South-East,13.1089317,77.595884,19520000,7685.04,INR,Sold,True,16.78695,Bengaluru | Yelahanka
IND-000019,Coimbatore,Tamil Nadu,RS Puram,Independent House,2108,2108,3,3,14,2012,0,0,Furnished,1,8,South,11.0136907,76.952165,7040000,3339.66,INR,Sold,True,15.767119,Coimbatore | RS Puram
IND-000020,Delhi,Delhi,Vasant Kunj,Villa,2568,2568,3,3,15,2011,0,0,Furnished,3,10,South-East,28.5323816,77.1499221,34480000,13426.79,INR,Active,True,17.35589,Delhi | Vasant Kunj
